Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi Reading1,Onyomi Reading2,Kunyomi Reading1,Kunyomi Reading2,Mnemonic,Notes
1,2,一,Kanji,one,,,,,,,horizontal line,,,,ICHI,ITSU,hito.tsu,,One.m is just a line.r. One ichy.o mustache is a hit.k or.k miss fashion-wise.,
2,9,二,Kanji,two,,,,,,,katakana NI,,,,NI,,futa.tsu,,"Two.m is two.r lines.r. A knee.o and a foot.k, you have two.","This radical never appears by itself, but it is the same shape as katakana NI."
3,14,三,Kanji,three,,,,,,,one,two,,,SAN,,mi.ttsu,,Three.m equals one.r plus two.r. Three looks like a sane.o san.odwich with meats.k between two buns.,
4,,囗,Radical,box,,,,,,,square,,,,,,,,A box.m is square.r-shaped. This radical boxes other radicals inside of it.,"This radical never appears by itself, only as a part of other characters."
5,,丿,Radical,slash,,,,,,,katakana NO,,,,,,,,The slash.m radical looks like katakana.r  ノ.r.,"This radical never appears by itself, only as a part of other characters."
6,,⺃,Radical,hook,,,,,,,hook shape,,,,,,,,The hook.m radical with a hook.r shape.r.,"This radical never appears by itself, only as a part of other characters."
7,,儿,Radical,legs,,,,,,,slash,hook,,,,,,,A pair of legs.m looks like a slash.r and a hook.r.,"This radical never appears by itself, only as a part of other characters."
8,47,四,Kanji,four,,,,,,,box,legs,,,SHI,,yo.tsu,yon,"A four.m sided box.r standing on legs.r. She.o in particular, worked yon.kder the four hills yo.k.",
9,,T,Radical,letter T,,,,,,,capital T,,,,,,,,The letter.m T.m radical looks like a capital T.r.,"This radical never appears by itself, only as a part of other characters."
10,,ユ,Radical,yuan,,,,,,,katakana YU,,,,,,,,"Yuan.m, the Chinese currency, sounds like katakana.r ユ.r.","This radical never appears by itself, but it is the same shape as katakana YU."
11,31,五,Kanji,five,,,,,,,letter T,yuan,,,GO,,itsu.tsu,,Five.m looks like a T.r superimposed on a yuan.r radical. Go.o add 5+5! It's.k hard for me...,
12,,丶 ,Radical,bloody,,,,,,,dot,,,,,,,,Bloody.m drops dotted.r my carpet. ,"This radical is either 丶, a left-to-right falling, or  ´, a right-to-left falling stroke. Don't confuse it with ノ. "
13,,亠,Radical,lid,,,,,,,bloody,one,,,,,,,A barrel lid.m is bloody.r flat with one.r handle.,"This radical never appears by itself, only as a part of other characters."
14,93,六,Kanji,six,,,,,,,lid,eight,,,ROKU,,mu.ttsu,,Six.m lids.r aren't enough. Eight.r lids to cover six rocks.o are a must.k!,"The kanji for 6, 六, comes before 8, but it uses 8, 八, as a radical."
15,115,七,Kanji,seven,,,,,,,one,hook,,,SHICHI,,nana.tsu,,"Seven.m times, despite only having one.r hook for a leg.r, she.o cheated.o on me with my seventh nanny.k.",
16,92,八,Kanji,eight,,,,,,,katakana HA,,,,HACHI,,ya.ttsu,,Eight.m looks like katakana ハ.r (HA).r. Hatch.o eight hatchlings who play yahtzee.k.,It is the same shape as katakana HA.
17,62,力,Kanji,power,,,,,,,katakana KA,slash,rake,,RYOKU,,chikara,,"Power.m looks like katakana カ.r. Nuclear reactors.o create power and, like chicks.k, are.k really hot.","Power', 力, can also be analyzed as 'slash',丿, and 'rake', 𠃌."
18,55,九,Kanji,nine,,,,,,,power,legs,,,KYUU,KU,kokono.tsu,,"Nine.m powerful.r legs.r are cute.o, cool.o, and kick coconuts.k.",
19,1,日,Kanji,sun,day,,,,,,one,box,,,NICHI,JITSU,hi,ka,"Every day.m, from the sun.m, I hide in one.r box.r. My niche.o is jiujitsu.o and saying hi.k every day.",This is used to write Japan: 日本. 日 sun/day also means Sunday.
20,483,白,Kanji,white,,,,,,,bloody,sun,,,HAKU,,shiro.i,,"The white.m bloody.r shirt dried in the sun.r. After hack.oing him, she.k ro.klled up his white shirt.",
21,163,百,Kanji,hundred,,,,,,,one,white,,,HYAKU,,momo,,"Whether a hundred.m or just one.r white.r snowflake, we hike.o at any moment.k.",
22,8,十,Kanji,ten,,,,,,,cross,,,,JUU,,too,,Ten.m crosses.r for Christians. Jews.o have the Torah.k's ten commandemnts.,
23,,|,Radical,bar,,,,,,,vertical stick,,,,,,,,A bars.m is a vertical.r sticks.r.,"This radical never appears by itself, only as a part of other characters."
24,307,土,Kanji,ground,,,,,,,two,bar,,,DO,,tsuchi,,"On the ground.m of the earth.m, lay two.r bars.r. A guy yelled: ""#Do.o not touch.k them!""",
25,526,士,Kanji,warlord,,,,,,,ten,one,,,SHI,,one,,"The warlord.m killed ten.r men with one.r blow. She.o in particular, was the best female warlord.k ever.",
26,1349,干,Kanji,dry,,,,,,,one,ten,,,KAN,,hosu,,Dry.m throat after counting from one.r to ten.r. Can.o you hose.k me with fluids?,
27,195,千,Kanji,thousand,,,,,,,slash,ten,,,SEN,,chi,,A thousand.m slashes.r times ten.r! Sensible.o children.k know math or they get slashed!,
28,2499,壬,Kanji,knight,,,,,,,thousand,warlord,,,NIN,,,,The knight.m is a legend among a thousand.r warlords.r and ninjas.o.,Mostly used as a radical. It is ninth sign of Chinese zodiac
29,,𠂉,Radical,gun,,,,,,,slash,one,,,,,,,The gun.m radical looks like a flint-lock pistol made of a slash.r and a one.r.,"This radical never appears by itself, only as a part of other characters."
30,1202,牛,Kanji,cow,,,,,,,gun,ten,,,GYUU,,ushi,,A cow.m get shot by a gun.r. ten.r times. We make glue.o with its bones after ushering.k it into the afterlife.,
31,154,午,Kanji,noon,,,,,,,gun,dry,,,GO,,uma,,"At noon.m, I fired the gun.r with dry.r gunpowder. Go.o! Go.o fetch more cartridges!",
32,29,生,Kanji,birth,,,,,,,gun,ground,,,SEI,,u.mareru,i.kiru,"Life.m after birth.m ends with a gun.r and in the ground.r. They say.o if take umbrage.k to things, it.k kills.k you.k faster.",
33,509,古,Kanji,old,,,,,,,ten,mouth,,,KO,,furu.i,,"The old.m guy, ten.r times, mouthed.r off. He grabbed his old coat.o and left furiou.ksly.",
34,711,吉,Kanji,luck,,,,,,,warlord,mouth,,,KITSU,,yoshi,,Luck.m came to the warlord.r via his polite mouth.r. His kits.o arrived intact whereas yo.k shit.k got thrashed. (Be nice to bus boys).,
35,1830,舌,Kanji,tongue,,,,,,,slash,old,,,ZETSU,,shita,,"My tounge.m got slashed.r by the hard old.r bread. I need zest.o in my food, not a shitty.k taste.",
36,375,万,Kanji,ten thousand,,,,,,,one,power,,,MAN,BAN,,,Ten.m thousand.m is one.r powerful.r number. That man.o made a ban.o against counting so high.,
37,46,方,Kanji,direction,,,,,,,bloody,ten thousand,,,HOU,,kata,,"In that direction.m, there are a bloody.r ten.r thousand.r hoes.o getting cat.k called.",
38,542,丸,Kanji,round,,,,,,,nine,bloody,,,GAN,,maru,marui,"Round.m like spheres, nine.r bloody.r drops rolled off my wound. Gangrene.o marred.k my body too.",
39,76,目,Kanji,eye,,,,,,,mouth,two,,,MOKU,,me,,"Eyes.m, we both have two.r, mouths.r; just one. Don't mock.o me.k. We're the same.",
40,19,自,Kanji,oneself,,,,,,,bloody,eye,,,SHI,JI,mizukara,,"Spare oneself.m a bloody.r eye.r. She.o in particular, got one herself, crashing her jeep.o, and covered it with mascara.k.",
41,,且,Kanji,furthermore,,,,,,,eye,one,,,SO,,ka.tsu,,"Furthermore.m, you have one.r eye.r only. So.o, furthermore, you can't watch cats.k online.",Rare kanji. Mostly used as a radical.
42,22,見,Kanji,see,,,,,,,eye,legs,,,KEN,,miru,,He saw.m that he had eyes.r and legs.r. Ken.o loves looking in his mirror.k.,
43,90,田,Kanji,field,,,,,,,box,ten,,,DEN,,ta,,Rice paddy fields.m are boxy.r grids in rows of ten.r. The den.o in the fields is for tap.k dancing.,
44,1073,甲,Kanji,armor,,,,,,,field,bar,,,KOU,,,,The armor.m was impenetrable. In the fields.r of battle it withstood strikes from metal bars.r. It coats.o our soldiers.,
45,325,由,Kanji,reason,,,,,,,bar,field,,,YUU,YUI,yoshi,,"There's a reason.m a plutonium bar.r is the fields.r! You.o in particular, had yo.k shi.kt messed up for no reason.","This is a radical. It never appears by itself, only as a part of other characters."
46,492,申,Kanji,to be called,,,,,,,field,bar,,,SHIN,,mou.su,,To.m be.m called.m by name to fight in the fields.r with a bar.r is an honor. Break their shins.o so don't turn mushy.k.,It is also the monkey sign of Chinese zodiac.
47,5,人,Kanji,person,,,,,,,upside down Y,,,,JIN,NIN,hito,ri,The person.m looks like upside down Y. He's a ninja.o wearing jeans.o who hits.k real.k hard.,
48,,丷,Radical,horny,,,,,,,pair of horns,,,,,,,,Simply horny.m because it looks like a pair of horns.,"This radical never appears by itself, only as a part of other characters."
49,574,火,Kanji,fire,,,,,,,horny,person,,,KA,,hi,,"The fire.m burn the horny.r person.r. He.o in particular, is Canadian.k.",
50,1242,炎,Kanji,flame,,,,,,,fire,fire,,,IN,,honoo,,"The flame.m of the two fires.r burned in.oside of me. On a high.k note.k, I'm motivated.",
51,7,大,Kanji,big,,,,,,,one,person,,,TAI,DAI,oo.kii,,"The big.m one.r is a person.r too. He wears a tie.o and loves diamonds.o, okay.k!",
52,1326,犬,Kanji,dog,,,,,,,bloody,big,,,KEN,,inu,,That dog.m is bloody.r big.r. I.k knew.k it was Ken.o's dog.,
53,552,太,Kanji,fat,,,,,,,big,bloody,,,TAI,,futo.ru,,Fat.m makes you big.r and bloody.r strong. But then finding large ties.o is a futile.k pursuit.,
54,335,夫,Kanji,husband,,,,,,,two,person,,,FU,,otto,,My husband.m acts like two.r different people.r! F..o U..o husband! U look like an otter.k.,
55,512,天,Kanji,heaven,,,,,,,one,big,,,TEN,,,,Heaven.m is one.r big.r place. Ten.o times as big as Earth!,
56,317,木,Kanji,tree,,,,,,,big,bar,,,MOKU,,ki,,A tree.m trunk is a big.r bar.r. They mock.o us because we keep.k hugging trees.,
57,10,本,Kanji,stem,book,,,,,,tree,one,,,HON,,moto,,The stem.m of a tree.r is one.r source of wood pulp for books.m. Our honor.o stems from our motto.k in this book.,This is used to write Japan: 日本.
58,456,末,Kanji,tip,,,,,,,one,tree,,,MATSU,,sue,,The tip.m of one.r tree.r is turned into mats.o to be sent accross the Sue.kz cannal.,
59,650,未,Kanji,not yet,,,,,,,two,tree,,,MI,,,,Not.m yet.m ready to cut the two.r trees.r down. They're dear to me.o in particular.,
60,,乂,Radical,scissor,,,,,,,katakana ME,,,,,,,,The scissor.m radical looks like katakana.r メ.r.,"This radical never appears by itself, but it is the same shape as katakana ME."
61,1375,丈,Kanji,stature,,,,,,,one,scissor,,,JOU,,,,His stature.m was cut down with one.r scissor.r. Joe.o lost his stature.,
62,511,史,Kanji,history,,,,,,,mouth,scissor,,,SHI,,,,"Oral history.m is only by mouth.r. So scissor.r up the scrolls. She.o in particular, knew her history.",
63,,吏,Kanji,officer,,,,,,,stature,history,,,RI,,,,The officer.m with stature.r historically.r reeps.o the most respect.,Rare kanji. Mostly used as a radical.
64,861,更,Kanji,additionally,,,,,,,stature,sun,,,KOU,,fukeru,sara,"Additionally.m, the guy with stature.r charged into the field.r. Additionally, he cou.orageously defeated the fuckers.k to save Sarah.k.",
65,646,父,Kanji,father,,,,,,,eight,scissor,,,FU,,chichi,tousan,"Father.m owns eight.r scissors.r. Dad said ""F..o U."".o to the chicken.k as he tossed.k. it.",
66,190,文,Kanji,sentence,,,,,,,lid,scissor,,,MON,BUN,,,"The sentence.m, ""cut lids.r with scissors.r"" make no sense. ""Mon.oks bake buns"" is a nonsense sentence too.",
67,,亅,Radical,barb,,,,,,,hooked stick,,,,,,,,The barb.m looks like a stick with a hooked end.,"This radical never appears by itself, only as a part of other characters."
68,,冂,Radical,staple,,,,,,,bar,barb,,,,,,,A staple is a metal bar.r bent into a barb.r.,"This radical never appears by itself, only as a part of other characters."
69,23,月,Kanji,moon,month,organ,,,,,staple,two,,,GATSU,GETSU,tsuki,,"The monthly.m moon's.m two.r craters are a staple.r of its appearance. The ghastly.o moon gets.o you.o, like ski.k slopes.",月 moon/month also means Monday.
70,107,用,Kanji,utilize,,,,,,,moon,bar,,,YOU,,mochi.iru,,"You utilized.m a bar.r to swing at the moon.r. You,.o and.o only.o you.o, have that much.k ire.k.",
71,,⺌,Radical,sparkles,,,,,,,three rays,,,,,,,,Sparkles.ｍ looks like three.r rays.r of light of of a twinkling star.,"This radical never appears by itself, only as a part of other characters."
72,67,明,Kanji,bright,,,,,,,sun,moon,,,MEI,,akarui,ashita,"The bright.m sun.r and moon.r in May.o shine upon the acres.k, like bright ashes.k in the sky.","Pronounced あした, when paired with 日, 明日 , ""tomorrow."""
73,259,西,Kanji,west,,,,,,,one,four,,,SEI,,nishi,,West.m is one.r of four.r directions on a compass. Sailing.o is a niche.k sport.,"""West"" is somtimes written as 覀. Notice the straight ""legs,""  儿."
74,2468,酉,Kanji,booze,,,,,,,west,one,,,,,tori,,Booze.m in the west.r is one.r of many pastimes.,Mostly used as a radical. It is the tenth sign of Chinese zodiac.
75,114,小,Kanji,small,,,,,,,eight,barb,,,SHOU,,chii.sai,,"He used small.m barbs.r, eight.r of them, to scratch the marble. To show.o off his skills, he chiseled.k it.",
76,287,少,Kanji,few,,,,,,,small,slash,,,SHOU,,suko.shi,suku.nai,A few.m small.r slashes.r won't show.o much. Cover them with a sock.k and suck.k it up.,
77,,フ,Radical,fuel,,,,,,,katakana FU,,,,,,,,Fuel.m could be spelled with katakana.r フ.r.,"This radical never appears by itself, but it is the same shape as katakana FU so use the mnemonic ""fuel."""
78,223,水,Kanji,water,,,,,,,fuck,small,slash,,SUI,,mizu,,"In the water.m, he drew fucking.r small.r slashes.r. The sewer.o water made him miserable.k.",
79,1450,氷,Kanji,ice,,,,,,,water,bloody,,,HYOU,,koori,,The ice.m melted into water.r with the bloody.r heat. Hy.odr#o.oelectric power in this corri.kdor melted the ice.,
80,846,永,Kanji,eternity,,,,,,,bloody,water,,,EI,,,,"For eternity.m, the bloody.r water.r dripped. Ei.oghty-#ei.oght drops feels like an eternity.",
81,220,求,Kanji,request,,,,,,,one,bloody,water,,KYUU,,moto.meru,,I requested.m one.r bloody.r drop of water.r. A cute.o waitress brought my requested mutton.k meal.k.,
82,,ﾉl,Radical,broken legs,,,,,,,slash,bar,,,,,,,Broken.m legs. because he got slashed.r and hit with a bar.r. This looks like the legs radical without the hook on the right.,"This radical never appears by itself, but it is similar to ""legs,"" 儿, so use the mnemonic ""broken legs."""
83,181,川,Kanji,river,,,,,,,broken legs,bar,,,SEN,,kawa,,"In the river.m, they broke.r legs.r with a bar.r.: sen.otenced to a beating for cowardice.k.",
84,386,州,Kanji,province,,,,,,,small,river,,,SHUU,,su,,This province.m has small.r rivers.r. Remove your shoes.o and swim.k in them.,
85,,マ,Radical,mammal,,,,,,,katakana MA,,,,,,,,Mammal.m head.m sounds like katakana.r マ.r radical.,"This radical never appears by itself, but it is the same shape as katakana MA so use the mnemonic ""mammal."""
86,792,了,Kanji,finish,,,,,,,mammal,barb,,,RYOU,,,,They finished.m the fence with mammals.r spiked on the barbed.r wire to contain and finish the riot.o.,
87,72,子,Kanji,child,,,,,,,one,finish,,,SHI,,ko,,"The child.m, only one.r task she completed.r. She.o in particular, co.ooperated with other children though.",
88,240,男,Kanji,man,,,,,,,field,power,,,DAN,,otoko,,"Men.m toil in the fields.r with powerful.r man muscles. Dan.o, the man, is oh.k too.k cool.k for farm work.",
89,,ナ,Radical,awning,,,,,,,katakana NA,one,slash,,,,,,It looks like an awning.m or a katakana.r ナ.r.,"The 'awning' radical, ナ, can also be analyzed as 'one', and 'slash', 丿."
90,151,女,Kanji,woman,,,,,,,awning,scissor,,,JO,,onna,,The woman.m under an awning.r charged wth a scissor.r. The joke.o is on.k Anna.k.,
91,11,中,Kanji,middle,,,,,,,mouth,bar,,,CHUU,,naka,,He pierced the middle.m of his mouth.r with a bar.r. Choosing.o piercings is his nack.k.,
92,,冫,Radical,icicle,,,,,,,bloody,stroke,,,,,,,"The icicle.m is a cut him, causing a bloody.r stroke.r.","The 'icicle,' 冫radical is a variant of 'ice,'  氷. Icicle has one less stroke than 'water splash.'"
93,,⺡,Radical,water splash,,,,,,,bloody,icicle,,,,,,,A water.m splash.m turned into a bloody.r icicle.r.,"The 'water splash,' 冫radical is a variant of 'water,' 水. Water splash has one more stroke than 'icicle.'"
94,929,沖,Kanji,open waters,,,,,,,water splash,middle,,,CHUU,,oki,,The open.m waters.m splash.r violently in the middle.r. Choose.o your boat for the open waters to Okinawa.k wisely.,
95,1006,酒,Kanji,alcohol,,,,,,,water splash,booze,,,SHU,,sake,saka,Alcohol.m and water.r make booze.r. We should.o drink sake.k alcohol.,
96,,ト,Radical,divination,,,,,,,katakana TO,,,,,,,,The divination.m radical looks like katakana.r ト.r.,"This is radical never appears by itself, but it is the same shape as katakana TO."
97,35,上,Kanji,up,,,,,,,divination,one,,,JOU,,ue,a.geru,"Up.m has divination.r above a one.r. Kanji is a journey.o, we.kird but agrea.kable.",Also has kunyomi of a.garu
98,310,止,Kanji,stop,,,,,,,up,bar,,,SHI,,toma.ru,to.meru,"Stop.m dancing up.r on the bar.r! She.o in particular, will stop tomorrow.k.",
99,143,正,Kanji,correct,,,,,,,one,stop,,,SEI,,tada.shii,,It's correct.m for one.r to stop.r before embarrassment. They say.o that being a tad.k shy.k is the correct way.,
100,97,下,Kanji,down,,,,,,,one,divination,,,KA,GE,shita,sa.geru,"On the down.m side, one.r dollar, the divination.r cost. Canadians.o get.o shitty.k fortune readings.",Also has kunyomi of sa.garu
101,101,不,Kanji,negative,,,,,,,slash,down,,,FU,BU,,,"A negative.m man is slashed.r down.r! F..o U..o and ur negativity, bud.o!",
102,299,工,Kanji,industry,,,,,,,letter T,one,,,KOU,KU,,,Industry.m crafts things with a T.r-square and one.r capitalist. Industry is cou.orageous and cool.o!,
103,630,左,Kanji,left,,,,,,,awning,industry,,,SA,,hidari,,"On the left.m is an awning.r crafted by industry.r. Sadly.o, the Left is hideously.k hating on industry.",The first stroke is the horizontal one which is written from LEFT to right.
104,602,右,Kanji,right,,,,,,,awning,mouth,,,YUU,,migi,,"The right.m side has an awning.r covering the building's mouth.r. You.o in particular, must mig.krate through the right side.",The first stroke is the vertical slash which is written from RIGHT to left.
105,342,石,Kanji,stone,,,,,,,one,slash,mouth,,SEKI,,ishi,,"A stone.m hits like one.r slash.r to the mouth.r. In this section,.o the stones are jagged- ish.k.",
106,2288,只,Kanji,ordinary,,,,,,,mouth,eight,,,SHI,,tada,,"Ordinary.m mouths.r have eight.r front teeth. She.o in particular, is a tad.k ordinary.",
107,1219,兄,Kanji,older brother,,,,,,,mouth,legs,,,KYOU,KEI,oo.nii.san,ani,My older.m brother.m has a mouth.r and legs.r. He eats cake.o in Kyoto.o and kicks ani.kmals.,
108,1874,又,Kanji,again,,,,,,,katakana NU,,,,YUU,,mata,,"Again.m, he made a new.r mat.k.","The onyomi YUU is rarely used, hence not part of the mmenonic."
109,1029,双,Kanji,pair,,,,,,,katakana NU,again,,,SOU,,futa,,"A pair.m of katakana.r ヌ.r fused together again.r. Sewed.o together, it's futile.k to separate the pair.",
110,622,友,Kanji,friend,,,,,,,awning,again,,,YUU,,tomo,,"My friends.m, I sheltered them under an awning.r again.r. You.o in partcular, should bring a friend tomorrow.k.",
111,282,有,Kanji,have,,,,,,,awning,moon,,,YUU,,a.ru,,"If you have.m an awning.r with a moon.r roof, you.o, in partcular, are.k rich.",
112,924,夕,Kanji,evening,,,,,,,katakana TA,,,,,,yuu,,"This evening,.m tap way with katakana.r タ.r. You.o in particular, should tap dance this evening.",
113,139,多,Kanji,many,,,,,,,evening,evening,,,TA,,oo.i,,"Many.m times, two.r evenings.r ago I got laid. I double tapped.o many oodles.k of ass.",
114,,夂,Radical,late,,,,,,,evening,again,,,,,,, 'Twas late.m as the evening.r superimposed itself upon us again.r.,"This radical never appears by itself, only as a part of other characters."
115,1090,冬,Kanji,winter,,,,,,,late,icicle,,,TOU,,fuyu,,"Winter.m, comes late.r in the year with icicles.r. It's totally.o winter for.k you.k.",
116,177,名,Kanji,name,,,,,,,evening,mouth,,,MEI,MYOU,na,,Say my name.m in the evening.r with your mouth.r. I may.o allow your myopic.o self say my name.k.,
117,243,各,Kanji,each,,,,,,,late,mouth,,,KAKU,,onono,,"Each.m time you arraive late.r, in your mouth.r put my cock.o. Oh.k no!.k Oh.k no!.k",
118,,⺅,Radical,standing man,,,,,,,slash,bar,,,,,,,"Standing.m man.m is a mentally variant person, 人, that slashes.r other people with a bar.r.","The 'standing man', ⺅, radical is a variant of 'person,'  人."
119,439,仕,Kanji,serve,,,,,,,standing man,warlord,,,SHI,,,,"To serve.m her, the standing.r man.r who is a warlord.r, is here. She.r, in partcular, needs him.",
120,217,任,Kanji,entrust,,,,,,,standing man,knight,,,NIN,,maka.su,maka.seru,"We entrusted.m the standing.r man.r who is knight.r to defeat them. The ninja.o, he masacred.k them all.",
121,642,休,Kanji,rest,,,,,,,standing man,tree,,,KYUU,,yasu.mu,yasu.mi,"Resting.m, the standing.r man.r leans on a tree.r. He's cute.o but says yes.k many.k times just to go on vacation.",
122,88,体,Kanji,body,,,,,,,standing man,stem,,,TAI,,karada,,From the body.m of the standing.r man.r stems.r his pain. His tight.o body needs a health care.k aide.k.,
123,284,口,Kanji,mouth,,,,,,,katakana RO,,,,KOU,,kuchi,,"Mouth.m out the katakana.r ロ.r sound, coat.o it with lipstick, and shut your coochie.k.",
124,50,回,Kanji,times,,,,,,,box,mouth,,,KAI,,mawa.ru,,"Many times.m, I put my box.r on his mouth.r. Kyle.o broke my.k wary.k heart.",
125,225,品,Kanji,items,,,,,,,mouth,mouth,mouth,,HIN,,shina,,The items.m can feed three mouths.r. Nothing hinders.o the shine.k of capitalism.,
126,130,加,Kanji,add,,,,,,,power,mouth,,,KA,,kuwa.waru,kuwa.eru,"Add.m power.r to your mouth.r. In Ca.onada, add volume to your quiet.k voice.",
127,,L,Radical,letter L,,,,,,,capital L,,,,,,,,The letter.m L.m radical looks like a capital L.r.,"This radical never appears by itself, only as a part of other characters."
128,,凵,Radical,open box,,,,,,,capital L,bar,,,,,,,Open.m box.m is missing its top; formed with a letter.r L.r and a bar.r.,"This radical never appears by itself, only as a part of other characters."
129,131,山,Kanji,mountain,,,,,,,bar,open box,,,SAN,,yama,,The mountain.m top had a bar.r in an open.r box.r. A sane.o farmer would but yams.k in it.,
130,13,出,Kanji,exit,,,,,,,mountain,mountain,,,SHUTSU,,da.su,de.ru,"He exists,.m leaves,.m and climbs two.r mountains.r! There he shoots.o deer.k. Dat's.k his hobby.",
131,787,岩,Kanji,boulder,,,,,,,mountain,stone,,,GAN,,iwa,,Boulders.m from mountains.r are perilous stones.r. I got gangrene.o. I.k was.k crushed by a boulder.,
132,56,入,Kanji,enter,,,,,,,person,,,,NYUU,,ire.ru,hai.ru,Enter.m into a flipped-over person.r! The new.o sensation will irritate.k their hairy.k parts as you enter!,This kanji looks like person 人.(hito) but flipped horizontally (mirror image).
133,1404,也,Kanji,classic,,,,,,,hook,katakana SE,,,YA,,nari,,"The classical.m theatre hooked.r you in with a katakana.r セ.r. The crowed went ""Yay!"".o when the narrator.k of the play said セ.","This word used to mean ""to be"" in Classical Japanese."
134,543,他,Kanji,other,,,,,,,standing man,classic,,,TA,,hoka,,The other.m man.r standing.r is.r classically.r trained. He tap.o dances with hookers.k and others as well!,
135,157,心,Kanji,heart,,,,,,,legs,bloody,bloody,,SHIN,,kokoro,,My heart.m pumps the same bloody.r blood.r as Captain Hook.r. My shins.o step on hearts like cockroaches.k.,
136,265,必,Kanji,certain,,,,,,,heart,slash,,,HITSU,,kanara.zu,,"Certainly.m, a slash.r through the heart.r hurts. It hits.o you.o like canary.k bird crashing into a window.",
137,1812,皿,Kanji,plate,,,,,,,eye,one,,,,,sara,,A plate.m is sort of like a sideways eye.r; a flat one.r. Sarah.k washes the dishes.,
138,832,血,Kanji,blood,,,,,,,bloody,plate,,,KETSU,,chi,,"There was blood.m on the bloody.r plate.r. Like ketchup.o, it's red and cheap.k to make.",
139,1313,冊,Kanji,counter for books​,,,,,,,plate,staple,,,SATSU,,,,Counting.m books.m is like putting plates.r in an upside-down.r box.r. It doesn't satisfy.o and could be disastrous.,
140,,而,Radical,moustache,,,,,,,one,bloody,staple,bar,,,,,"The moustache.m is one.r bloody.r cool stache shaped like a staple.r, not like a bar.r","This radical never appears by itself, only as a part of other characters."
141,128,平,Kanji,flat,,,,,,,dry,horny,,,HEI,,hira.tai,taira,"The flat.m surface was dry.r and riddled with horns.r. I hate.o the dessert. Here.k, I tire.k out.",
142,,㐄,Radical,stock,,,,,,,right-open box,bar,,,,,,,The stock.m goes into the right.r open.r box.r and placed on the bars.r.,"This radical never appears by itself, only as a part of other characters."
143,6,年,Kanji,year,,,,,,,noon,one,,,NEN,,toshi,,Every year.m gun.r stock.r diminishes. Neanderthals.o tooshes.k are many years old.,
144,,䒑,Radical,sewer lid,,,,,,,lid,slash,,,,,,,The sewer.m lid.m is a lid.r that got slashed.r open.,"This radical never appears by itself, only as a part of other characters."
145,58,立,Kanji,stand up,,,,,,,lid,sewer lid,,,RITSU,,ta.tsu,ta.teru,I stand.m up and place lids.r over sewer.r lids.r for a living. Ritsy.o people never taste.k manual labor.,
146,,𠆢,Radical,roof,,,,,,,pitched roof,,,,,,,,The roof.m radical actually looks like a pitched.r roof.r.,"This radical never appears by itself, only as a part of other characters."
147,617,介,Kanji,mediate,,,,,,,roof,broken legs,,,KAI,,,,We mediated.m the argument under the court's roof.r to prevent broken.r legs.r. Kyle.o helped mediate.,
148,158,界,Kanji,world,,,,,,,field,mediate,,,KAI,,,,The world.m is a field.r of opportunity mediated.r by chance. Kyle's.o kite.o flies over the world.,
149,1850,瓦,Kanji,tile,,,,,,,one,nine,bloody,,GA,,kawara,,The tiles.m measured one.r by nine.r bloody.r inches. A gallery.o full of teeny cowardly.k tiles!,
150,,彑,Radical,pig's head,,,,,,,letter L,yuan,,,,,,,A pig's.m head.m radical looks a yuan.r modified into a flag.,"This radical never appears by itself, only as a part of other characters."
151,914,互,Kanji,reciprocal,,,,,,,one,pig's head,,,GO,,taga.i,,Let's reciprocate.m and kiss one.r pig's.r head.r. Let's go.o reciprocate our lust together.k.,
152,684,王,Kanji,king,,,,,,,three,bar,,,OU,,,,The king.m rules with three.r bars.r. Oh.o shit! The king is here!,
153,95,主,Kanji,master,,,,,,,bloody,king,,,SHU,,omo,,"Our master.m is the bloody.r king.r! Shoot.o anyone our master finds ominous.k.
",
154,737,玉,Kanji,ball,,,,,,,king,bloody,,,GYOKU,,tama,,The ball.m of the king.r got bloody.r. because he threw it at gawkers.o eating tamales.k.,
155,3,国,Kanji,country,,,,,,,box,ball,,,KOKU,,kuni,,The country.m boxed.r in the foreign ball.r players after customs found coke.o in their baggage. How cunning.k!,
156,75,全,Kanji,all,,,,,,,roof,king,,,ZEN,,sube.te,,All.m helps put a roof.r over the king.r. Even the zen.o priests subtly.k go all in.,
157,53,金,Kanji,gold,,,,,,,all,horny,,,KIN,,kane,,"For gold.m, all.r the golden horny.r people will do anything. My rich kin.o walk with a golden cane.k.",
158,,弋,Radical,ceremony,,,,,,,one,hook,bloody,,,,,,A boring ceremony.m is one.r more social hook.r to take our bloody.r time.,"This radical never appears by itself, only as a part of other characters."
159,251,式,Kanji,formal,,,,,,,ceremony,industry,,,SHIKI,,,,The formal.m ceremony.r was crafted by the wedding industry.r. She.o keeps.o up the formalities.,
160,,戈,Radical,spear,,,,,,,ceremony,slash,,,,,,,"With a spear.m, he entered the ceremony.r and slashed.r everyone.
","This radical never appears by itself, only as a part of other characters."
161,66,代,Kanji,change,,,,,,,standing man,ceremony,,,DAI,,ka.wari,ba.keru,The wedding changed.m the standing.r man.r after the ceremony.r. The coward.k will change diapers at a bakery.k.,
