Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi Reading1,Onyomi Reading2,Kunyomi Reading1,Kunyomi Reading2,Mnemonic,Notes
409,319,聞,Kanji,ask,,,,,,,gates,ear,,,BUN,,ki.ku,,"Ask.m and listen.m. Open the gates.r of your ears.r. Bunny.o rabbits have ears to listen, not kick.k.",
410,59,開,Kanji,open,,,,,,,gates,shrine,,,KAI,,a.ku,a.keru,Open.m the gates.r of the shrine.r! Let the kites.o pass thru the acute.k opening.,
411,1497,才,Kanji,genius,,,,,,,katakana O,,,,SAI,,,,The genius.m learned katakana.r オ.r. as a baby. I sigh.o with awe at his genius.,"This is a radical. It never appears by itself, only as a part of other characters. There is a slight variant that looks like trident like in 事 (thing) and 聿 (brush). "
412,951,閉,Kanji,close,,,,,,,gates,genius,,,HEI,,shi.maru,to.jiru,Close.m the gates.r to contain the genius.r. I hate.o the close-minded who like to.k joke.k about she-males.k. ,
413,320,身,Kanji,social status,,,,,,,oneself,genius,,,SHIN,,mi,,"The social.m status.m of oneself.r to slash.r if a genius.r, is high. Shine.o like me.k in particular, with status.",
414,,乍,Kanji,while,,,,,,,keg,two,,,,,nagara,,"While.m doing keg.r stands, I chugged two.r beers.",Rare kanji. Mostly used as a radical. The kunyomi is usually just written in hiragana.
415,103,作,Kanji,make,,,,,,,standing man,while,,,SAKU,SA,tsuku.ru,,Make.m something! A standing.r man.r produces.r. Your sack.o is sadly.o empty like a tsucker.k.,
416,226,昨,Kanji,yesterday,,,,,,,day,while,,,SAKU,,kinou,,"Yesterday.m while.r 'twas yet day.r, I hauled a sack.o o' key.k rings.","Pronounced kinou きのう when paired with 日, 昨日, 'tomorrow.'"
417,81,外,Kanji,outside,,,,,,,evening,divination,,,GAI,,soto,haza.reru,"Outside,.m in the evening.r I got a gypsie divination.r: a guy.o should wear a suit.k.",
418,,ヨ,Radical,bristles,,,,,,,katakana YO,,,,,,,,"With some bristles.m, write a katakana.r ヨ.r in ink. ","This radical never appears by itself, only as a part of other characters."
419,91,当,Kanji,success,,,,,,,sparkles,bristles,,,TOU,,ata.ru,ata.ri,Success.m isn't just sparkling.r jewels or fur bristles.r. Totally.o appropriate atire.k marks success.,
420,18,事,Kanji,thing,,,,,,,one,mouth,bristles,barb,JI,,koto,,The things.m from that one.r mouth.r are harsh as bristles.r and barbs.r. Jesus.o will put cotton.k in that trap!,
421,2180,尹,Kanji,official rank,,,,,,,bristles,slash,,,IN,,,,This official.m rank.m allows punishing with slashes.r of bristles.k in.oside the dungeon.,This uncommon kanji is only used in names or historical titles.
422,947,君,Kanji,you (informal),,,,,,,official rank,mouth,,,KUN,,kimi,,"You.m! Use the bristles.r to clean the right.r side of the house. You are cunning.o, Kim.k.",
423,703,伊,Kanji,Italy,,,,,,,standing man,official rank,,,I,,,,"The Italian.m standing.r man.r has an official.r rank.r. I,.o and.o only.o I.o, outrank him in Italy.",伊 is used an abbreviation for Italy and for the sound i;  い or イ.
424,,聿,Radical,brush,,,,,,,bristles,ground,,,,,,,The brushes's.m bristles.r painted the ground.r with ink.,"This radical never appears by itself, only as a part of other characters."
425,169,書,Kanji,write,,,,,,,brush,sun,,,SHO,,ka.ku,,Write.m with a brush.r all day.r. Write short.o verses until yor cock.k falls off.,
426,582,央,Kanji,center,,,,,,,eclipse,big,,,OU,,,,The center.m of eclipse.r was big.r! Oh.o shit! The Central Intelligence Agency!,
427,430,英,Kanji,England,,,,,,,plant,center,,,EI,,,,"In England,.m plants.r are central.r to society. Ei.o#ghty-ei.oght species grow in the centers of courtyards.",
428,404,映,Kanji,reflect,,,,,,,sun,center,,,EI,,utsu.ru,utsu.su,Reflect.m the sun's.r rays down the center.r. Ei.o#ghty-ei.oght miles across Austria's.k reflective terrain.,
